,City,Longitude,Latitude,Temperature,Humidity,Wind Speed,Cloud Cover %,Country,Date
273,Auki,160.7,-8.77,83.60600000000002,73,0.84,73,SB,1587251643
274,Teruel,-0.67,40.67,57.2,93,4.1,75,ES,1587251643
275,Pimentel,-79.93,-6.84,72.1760000000001,81,5.57,16,PE,1587251643
276,Cuyamel,-88.2,15.67,87.80000000000001,52,7.7,20,HN,1587251643
277,Shunyi,116.65,40.12,59.0,54,2.0,92,CN,1587251643
278,Hwange,26.5,-18.37,67.62200000000004,52,0.93,32,ZW,1587251643
279,Fortuna,-124.16,40.6,57.992,76,2.1,90,US,1587251644
280,Luganville,167.17,-15.53,82.4,78,2.1,40,VU,1587251644
281,Balabag,121.92,11.97,82.63399999999999,77,9.94,6,PH,1587251644
282,Filingué,3.32,14.35,85.94600000000005,11,3.8,0,NE,1587251644
283,Makakilo City,-158.09,21.35,80.6,54,2.1,40,US,1587251644
284,Alindao,21.21,5.03,73.45400000000006,80,2.31,72,CF,1587251645
285,Vicuña,-70.71,-30.03,60.8,82,4.6,20,CL,1587251645
286,Uruguaiana,-57.09,-29.75,73.4,64,1.0,0,BR,1587251392
287,California City,-117.99,35.13,69.99800000000002,48,10.8,1,US,1587251646
288,Lucapa,20.74,-8.42,64.11200000000005,75,1.33,85,AO,1587251646
289,Rio Branco,-67.81,-9.97,82.4,51,2.1,25,BR,1587251647
290,Madang,145.8,-5.22,81.19400000000007,77,1.57,100,PG,1587251647
291,Ullal,74.85,12.8,78.89000000000001,84,1.71,7,IN,1587251647
292,Mayor Pablo Lagerenza,-60.77,-19.93,69.53000000000004,40,0.95,0,PY,1587251647
293,Riyadh,46.72,24.69,78.80000000000001,44,2.1,100,SA,1587251647
294,Norman Wells,-126.83,65.28,39.2,86,6.7,90,CA,1587251648
295,Bavleny,39.56,56.4,32.018000000000086,90,2.62,89,RU,1587251648
296,Ishigaki,124.16,24.34,75.2,100,6.2,75,JP,1587251648
297,Sohag,31.69,26.56,71.6,37,3.1,0,EG,1587251490
298,Port Lincoln,135.87,-34.73,62.51000000000008,63,7.29,63,AU,1587251365
299,Nagato,131.2,34.38,55.99400000000007,81,3.1,75,JP,1587251648
300,Juba,31.58,4.85,74.22800000000007,68,3.37,95,SS,1587251649
301,Osa,55.46,57.28,32.75600000000003,91,2.83,57,RU,1587251649
302,Gouré,10.27,13.98,79.84400000000008,12,4.34,35,NE,1587251649
303,Nyrob,56.72,60.73,34.25,92,2.92,99,RU,1587251650
304,Ostrovnoy,39.51,68.05,31.748000000000026,98,4.42,98,RU,1587251650
305,Amos,-78.12,48.57,44.6,41,6.2,75,CA,1587251650
306,Varkaus,27.87,62.32,33.998000000000026,92,3.6,75,FI,1587251650
307,Havøysund,24.66,71.0,37.4,93,8.7,100,NO,1587251650
308,Marsh Harbour,-77.06,26.54,80.20400000000006,77,4.03,27,BS,1587251651
309,Rocha,-54.33,-34.48,60.54800000000003,93,3.12,0,UY,1587251651
310,Guarapari,-40.5,-20.67,75.2,73,4.1,75,BR,1587251651
311,Kieta,155.63,-6.22,85.60400000000006,64,0.41,65,PG,1587251651
312,Colesberg,25.1,-30.72,60.29600000000005,28,2.81,0,ZA,1587251651
313,Tupik,119.93,54.43,17.78000000000004,84,7.36,99,RU,1587251651
314,Fairbanks,-147.72,64.84,42.998000000000026,100,1.5,90,US,1587251400
315,Khasan,130.64,42.43,50.16200000000006,58,3.69,84,RU,1587251652
316,Cap Malheureux,57.61,-19.98,77.0,83,5.1,40,MU,1587251652
317,Oktyabr'skiy,53.47,54.48,34.05200000000008,84,2.94,22,RU,1587251652
318,Mount Isa,139.5,-20.73,75.2,25,3.6,2,AU,1587251652
319,Pedro II,-41.46,-4.42,69.54800000000003,84,1.02,100,BR,1587251652
320,Westport,-73.36,41.14,44.99600000000005,70,7.2,90,US,1587251652
321,Mount Gambier,140.77,-37.83,48.2,100,2.6,90,AU,1587251653
322,Ngunguru,174.5,-35.62,66.99199999999999,89,0.45,92,NZ,1587251653
323,Zhigansk,123.37,66.77,6.83600000000007,93,5.5,78,RU,1587251653
324,Baykit,96.37,61.67,24.278000000000066,92,0.49,0,RU,1587251653
325,Saquarema,-42.51,-22.92,73.4,78,2.6,40,BR,1587251653
326,Kiunga,141.29,-6.12,78.47600000000008,88,0.21,99,PG,1587251653
327,Yurla,54.32,59.33,30.32600000000009,96,2.98,100,RU,1587251653
328,Hamilton,-84.53,39.18,53.99600000000005,66,4.6,1,US,1587251052
329,Grindavik,-22.43,63.84,35.6,100,3.1,90,IS,1587251654
330,Cabo San Lucas,-109.91,22.89,77.0,56,5.1,5,MX,1587251654
331,Chapais,-74.85,49.78,39.2,38,3.6,75,CA,1587251654
332,Fort Nelson,-122.7,58.81,60.8,25,9.3,20,CA,1587251655
333,Roald,6.13,62.58,41.0,86,4.6,7,NO,1587251655
334,Cockburn Town,-71.14,21.46,78.584,82,6.71,32,TC,1587251655
335,Kiryat Gat,34.76,31.61,64.99400000000009,19,2.27,0,IL,1587251655
336,Øksfjord,22.35,70.24,35.6,88,2.1,100,NO,1587251655
337,Sterling,-77.43,39.01,53.00600000000003,37,6.2,20,US,1587251655
338,Sapozhok,40.68,53.94,33.008,84,0.89,66,RU,1587251656
339,Vilyuysk,121.62,63.76,8.996000000000048,92,3.59,60,RU,1587251656
340,Souillac,57.52,-20.52,77.0,83,5.1,40,MU,1587251656
341,Suamico,-88.04,44.63,62.6,33,9.3,20,US,1587251656
342,Talnakh,88.4,69.49,35.6,80,15.0,100,RU,1587251656
343,Limbang,115.0,4.75,78.00800000000001,100,2.1,75,MY,1587251656
344,Leningradskiy,178.42,69.38,5.612000000000055,88,3.91,4,RU,1587251657
345,Palekastro,26.25,35.2,57.00200000000008,83,1.79,0,GR,1587251657
346,Bulgan,103.53,48.81,32.86400000000003,47,1.46,30,MN,1587251657
347,Petropavlovsk-Kamchatskiy,158.65,53.05,44.6,39,3.0,5,RU,1587251657
348,Neyshabur,58.8,36.21,53.024000000000015,39,2.37,38,IR,1587251657
349,Savonlinna,28.88,61.87,33.998000000000026,90,3.6,75,FI,1587251657
350,Ankazoabo,44.52,-22.28,66.12800000000007,68,1.52,16,MG,1587251658
351,Minas Novas,-42.59,-17.22,67.78399999999999,75,1.75,86,BR,1587251658
352,Coos Bay,-124.22,43.37,62.00600000000003,81,3.6,90,US,1587251658
353,Belogorsk,128.46,50.92,57.12800000000007,32,9.86,100,RU,1587251658
354,Mingrelskaya,38.34,45.01,50.0,71,0.44,78,RU,1587251658
355,Upington,21.26,-28.45,73.4,38,3.6,0,ZA,1587251658
356,Saint-François,3.91,46.42,57.992,81,1.5,87,FR,1587251658
357,Peleduy,112.74,59.63,19.67000000000006,89,2.91,53,RU,1587251659
358,Soto la Marina,-98.22,23.77,84.00200000000008,76,4.02,73,MX,1587251659
359,Ndjolé,10.76,-0.18,74.76800000000009,92,0.63,14,GA,1587251659
360,Ada,-116.13,43.42,66.99199999999999,19,2.1,1,US,1587251659
361,Ystad,13.82,55.43,39.2,86,4.6,0,SE,1587251660
362,Upernavik,-56.15,72.79,22.946000000000048,90,6.48,99,GL,1587251660
363,Bosobolo,19.9,4.18,72.608,80,1.82,65,CD,1587251660
364,Shuya,41.39,56.85,31.928000000000065,93,1.72,49,RU,1587251660
365,Cairns,145.77,-16.92,80.99600000000005,83,6.2,75,AU,1587251365
366,Guangyuan,105.82,32.44,39.992,85,1.65,17,CN,1587251661
367,Bengkulu,102.27,-3.8,77.59400000000008,83,1.74,87,ID,1587251661
368,Mackay,149.2,-21.15,80.99600000000005,83,2.6,25,AU,1587251448
369,Leninskoye,132.62,47.94,55.616000000000014,53,4.17,45,RU,1587251661
370,Hofn,-15.21,64.25,45.464000000000034,88,6.56,99,IS,1587251661
371,Takoradze,-1.76,4.88,80.42000000000007,86,3.16,47,GH,1587251662
372,Makkah al Mukarramah,39.83,21.43,75.12800000000007,47,0.63,100,SA,1587251396
373,Bontang,117.5,0.13,81.53600000000007,75,2.44,95,ID,1587251662
374,Parrita,-84.32,9.52,82.4,54,5.7,40,CR,1587251662
375,Iquitos,-73.25,-3.75,78.11600000000001,70,0.52,81,PE,1587251662
376,Lincoln,-96.67,40.8,73.4,18,9.8,1,US,1587251662
377,Kuito,16.93,-12.38,58.44199999999999,60,0.94,87,AO,1587251662
378,Yulara,130.99,-25.24,64.4,48,3.6,22,AU,1587251663
379,Aska,84.67,19.61,79.21400000000003,69,0.88,0,IN,1587251663
380,San Cristobal,-72.22,7.77,87.80000000000001,45,4.6,40,VE,1587251663
381,Berdigestyakh,126.7,62.1,12.848000000000024,89,1.52,95,RU,1587251663
382,Leh,77.58,34.17,31.658000000000005,20,1.4,87,IN,1587251663
383,College,-147.8,64.86,42.8,93,0.92,90,US,1587251663
384,Alugan,125.48,12.22,82.83200000000002,74,5.76,18,PH,1587251664
385,Peniche,-9.38,39.36,57.992,87,1.34,1,PT,1587251664
386,Broken Hill,141.43,-31.95,55.400000000000006,54,2.71,6,AU,1587251664
387,Najrān,44.13,17.49,77.0,50,3.6,20,SA,1587251664
388,Omsukchan,155.8,62.53,2.2280000000000655,83,4.35,100,RU,1587251665
389,El Zapote,-102.8,21.07,83.30000000000001,15,5.55,81,MX,1587251665
390,Rundu,19.77,-17.93,66.2,77,3.6,79,NA,1587251665
391,Port Hardy,-127.42,50.7,51.8,81,2.6,20,CA,1587251665
392,Žalec,15.16,46.25,57.992,59,0.89,95,SI,1587251666
393,Meulaboh,96.13,4.14,78.65600000000003,83,2.26,68,ID,1587251666
394,Dhidhdhoo,73.1,6.88,85.80200000000008,74,4.92,6,MV,1587251666
395,Caruray,119.01,10.31,78.80000000000001,78,3.1,20,PH,1587251666
396,Cherskiy,161.3,68.75,7.322000000000035,88,4.01,22,RU,1587251666
397,Uribia,-72.27,11.71,81.91400000000004,66,8.51,1,CO,1587251666
398,Nha Trang,109.18,12.25,82.4,74,0.5,40,VN,1587251666
399,Polessk,21.1,54.86,37.4,69,4.0,20,RU,1587251667
400,Qasigiannguit,-51.19,68.82,23.0,85,3.6,95,GL,1587251667
401,Cabedelo,-34.83,-6.98,80.6,88,1.87,20,BR,1587251516
402,Aparecida do Taboado,-51.09,-20.09,70.142,80,2.89,90,BR,1587251667
403,Hervey Bay,152.85,-25.3,75.00200000000008,94,2.73,75,AU,1587251667
404,Maumere,122.21,-8.62,83.04800000000003,71,0.73,48,ID,1587251667
405,Leona Vicario,-87.19,20.97,84.99199999999999,74,5.7,75,MX,1587251667
406,Lavrentiya,-171.0,65.58,20.87600000000009,95,4.31,100,RU,1587251668
407,Los Llanos de Aridane,-17.92,28.66,66.2,68,7.7,5,ES,1587251668
408,Wana,69.57,32.3,55.544000000000075,36,1.22,0,PK,1587251669
409,Iwanai,140.51,42.97,54.5,56,0.71,94,JP,1587251669
410,Verkhnetulomskiy,31.8,68.61,33.8,86,3.0,75,RU,1587251669
411,Shubarkuduk,56.49,49.14,45.55400000000005,74,4.08,90,KZ,1587251669
412,Vigía del Fuerte,-76.89,6.58,76.15400000000005,91,0.38,100,CO,1587251669
413,Egvekinot,-179.17,66.32,8.582000000000015,89,9.25,100,RU,1587251669
414,Alakurtti,30.35,66.97,28.13000000000004,96,1.86,45,RU,1587251670
415,Ribeira Grande,-28.7,38.52,61.86200000000006,85,6.96,100,PT,1587251670
416,Lengshuijiang,111.43,27.69,58.478000000000065,82,2.5,92,CN,1587251670
417,Harper,-7.72,4.38,80.13200000000002,84,4.1,100,LR,1587251671
418,San Quintín,-115.95,30.48,62.276000000000096,67,8.62,0,MX,1587251671
419,Fairmont,-80.14,39.49,48.992,42,2.6,75,US,1587251383
420,Cabrobó,-39.31,-8.51,75.308,77,6.21,97,BR,1587251671
421,Inuvik,-133.72,68.35,23.0,67,2.6,75,CA,1587251475
422,Merauke,140.33,-8.47,83.48000000000005,75,3.98,100,ID,1587251671
423,Matane,-67.52,48.83,42.8,33,3.6,20,CA,1587251672
424,Hokitika,170.97,-42.72,55.07600000000009,71,8.74,68,NZ,1587251672
425,Albufeira,-8.25,37.09,62.6,72,4.6,37,PT,1587251672
426,Margate,1.39,51.38,46.99400000000007,92,0.45,19,GB,1587251672
427,Eyl,49.82,7.98,81.46400000000003,79,4.58,73,SO,1587251672
428,Mingora,72.36,34.78,55.76000000000008,44,2.87,94,PK,1587251673
429,Severomuysk,113.43,56.15,2.983999999999991,78,3.03,65,RU,1587251673
430,St. George's,-61.75,12.06,82.4,69,7.7,20,GD,1587251673
431,Spoleto,12.74,42.74,53.99600000000005,37,1.5,87,IT,1587251673
432,Conde,-34.91,-7.26,80.6,88,1.73,20,BR,1587251673
433,Youkounkoun,-13.13,12.53,84.32600000000009,21,2.6,91,GN,1587251673
434,Bairiki Village,172.98,1.33,86.0,79,2.6,75,KI,1587251674
435,Khāsh,61.22,28.22,63.82400000000001,35,0.54,95,IR,1587251674
436,Avera,-82.53,33.19,75.2,29,4.6,1,US,1587251674
437,Plettenberg Bay,23.37,-34.05,71.16800000000009,32,3.61,0,ZA,1587251674
438,Loreto,-101.97,22.27,79.08800000000005,15,5.43,98,MX,1587251674
439,Mossamedes,12.15,-15.2,74.984,69,2.59,70,AO,1587251674
440,Ketchikan,-131.65,55.34,55.400000000000006,62,7.2,1,US,1587251674
441,Petatlán,-101.27,17.52,87.80000000000001,55,4.1,5,MX,1587251675
442,San Rafael,-68.33,-34.62,73.184,34,6.18,78,AR,1587251675
443,Marsá Maţrūḩ,27.25,31.35,59.0,77,2.1,20,EG,1587251675
444,Elmadağ,33.23,39.92,48.2,57,1.5,13,TR,1587251675
445,Izyum,37.25,49.21,40.24400000000007,65,0.65,60,UA,1587251498
446,Culebra,-65.3,18.3,82.4,69,5.1,1,PR,1587251676
447,Floreşti,28.3,47.89,46.742,49,2.11,77,MD,1587251676
448,Dickson,-87.39,36.08,59.0,60,1.5,1,US,1587251676
449,Gresham,-122.43,45.5,53.99600000000005,76,3.1,90,US,1587251677
450,Oktyabr'skoye,44.74,43.06,41.0,86,4.0,100,RU,1587251677
451,Kenmare,-9.58,51.88,49.37000000000006,89,3.28,99,IE,1587251677
452,Nova Soure,-38.48,-11.23,74.19200000000001,87,2.44,86,BR,1587251677
453,Calvinia,19.78,-31.47,62.924000000000014,21,1.85,30,ZA,1587251677
454,Pangkalanbuun,111.62,-2.68,78.62000000000006,90,1.41,89,ID,1587251677
455,Adamovka,59.94,51.52,41.59400000000007,82,3.31,93,RU,1587251678
456,Warsaw,21.01,52.23,44.99600000000005,59,0.5,42,PL,1587251150
457,Kokopo,152.26,-4.35,83.82200000000003,70,1.17,86,PG,1587251678
458,Barreiras,-44.99,-12.15,72.48200000000003,78,0.88,100,BR,1587251678
459,Udachny,112.4,66.42,8.599999999999998,50,2.0,1,RU,1587251678
460,Haines Junction,-137.51,60.75,50.522000000000034,39,0.53,6,CA,1587251678
461,Narsaq,-46.05,60.92,30.2,50,0.5,93,GL,1587251679
462,Aiquile,-65.18,-18.2,53.52800000000006,35,0.98,2,BO,1587251679
463,Erbaa,36.57,40.67,46.4,87,0.15,28,TR,1587251679
464,Yar-Sale,70.83,66.83,34.538000000000046,98,5.39,99,RU,1587251680
465,Semey,80.23,50.41,37.4,74,0.9,0,KZ,1587251680
466,Yuancheng,107.79,36.65,47.3,45,1.35,0,CN,1587251680
467,Nome,-165.41,64.5,33.998000000000026,100,3.6,90,US,1587251400
468,Khandyga,135.6,62.67,7.502000000000077,87,2.38,36,RU,1587251680
469,Maxixe,35.35,-23.86,73.61600000000001,79,5.6,32,MZ,1587251681
470,Biak,122.88,-0.91,81.5,73,0.85,9,ID,1587251681
471,Port Maria,-76.89,18.37,84.2,70,8.2,40,JM,1587251681
472,Pontianak,109.33,-0.03,75.2,94,1.5,40,ID,1587251391
473,Kongolo,27.0,-5.38,69.22400000000002,81,1.0,100,CD,1587251682
474,Robe,139.75,-37.18,59.05400000000006,76,4.47,68,AU,1587251682
475,Bhānvad,69.77,21.93,77.64800000000002,72,4.98,19,IN,1587251682
476,Forsytheganj,29.73,52.63,35.54600000000005,79,2.89,86,BY,1587251682
477,Jiguaní,-76.43,20.37,87.80000000000001,45,6.7,5,CU,1587251682
478,Katangli,143.23,51.71,28.058000000000003,96,5.21,93,RU,1587251683
479,Homer,-151.55,59.64,51.998000000000026,76,5.1,90,US,1587251683
480,Quelimane,36.89,-17.88,78.80000000000001,88,3.1,75,MZ,1587251683
481,Salitral,-80.68,-4.86,82.36400000000003,52,5.9,20,PE,1587251684
482,Brownsville,-97.5,25.9,87.80000000000001,58,5.7,90,US,1587251401
483,Sekoma,23.88,-24.4,70.97000000000006,29,4.32,59,BW,1587251684
484,Koulamoutou,12.47,-1.13,71.87000000000006,87,0.49,22,GA,1587251684
485,Leiyang,112.86,26.4,61.57400000000001,89,3.13,100,CN,1587251684
486,Mitsamiouli,43.28,-11.38,82.09400000000008,79,6.05,77,KM,1587251685
487,Syracuse,15.28,37.09,57.00200000000008,87,2.6,86,IT,1587251685
488,Freeport,-73.58,40.66,44.99600000000005,75,3.1,90,US,1587251394
489,Verāval,70.37,20.9,79.75400000000005,57,5.19,21,IN,1587251685
490,Adrar,-10.07,20.5,74.76800000000009,35,4.63,80,MR,1587251685
491,Wenling,121.36,28.37,62.00600000000003,91,2.46,100,CN,1587251686
492,Colac,143.58,-38.33,50.0,98,0.45,77,AU,1587251686
493,Constitución,-72.42,-35.33,59.73800000000004,91,4.47,76,CL,1587251686
494,Sant Feliu de Guíxols,3.03,41.78,59.0,94,2.68,100,ES,1587251687
495,Raudeberg,5.14,61.99,41.0,86,1.5,2,NO,1587251687
496,City of San Pedro,121.02,14.35,82.99400000000009,74,2.6,40,PH,1587251687
497,Atambua,124.89,-9.11,78.22400000000002,66,0.61,56,ID,1587251687
498,Bonthe,-12.51,7.53,79.55600000000004,80,4.57,69,SL,1587251687
499,Seoul,126.98,37.57,55.400000000000006,71,3.13,90,KR,1587251252
500,Manicoré,-61.3,-5.81,77.0,94,1.5,20,BR,1587251688
501,Bubaque,-15.83,11.28,80.79800000000003,61,8.2,94,GW,1587251688
502,Huangmei,116.03,30.19,58.658,85,4.18,97,CN,1587251688
503,Talavera de la Reina,-4.83,39.96,55.99400000000007,82,1.79,82,ES,1587251689
504,Nāsriganj,84.33,25.05,79.91600000000001,25,1.22,21,IN,1587251689
505,Düzce,31.16,40.84,54.03200000000002,59,0.97,5,TR,1587251689
506,Hambantota,81.12,6.12,80.43800000000005,83,2.66,24,LK,1587251689
507,Luanda,13.23,-8.84,77.59400000000008,85,0.69,100,AO,1587251148
508,Skive,9.03,56.57,37.99400000000007,59,1.0,0,DK,1587251606
509,Whyalla,137.58,-33.03,51.8,93,1.5,12,AU,1587251690
510,Karasburg,18.75,-28.02,63.518000000000086,25,1.94,11,NA,1587251690
511,Teguise,-13.56,29.06,64.4,72,4.6,20,ES,1587251690
512,Batticaloa,81.69,7.71,80.16800000000009,82,2.11,53,LK,1587251691
513,Florø,5.03,61.6,41.0,86,1.5,0,NO,1587251691
514,Antequera,-4.56,37.02,62.6,82,1.5,40,ES,1587251691
515,Havre-St-Pierre,-63.6,50.23,32.0,93,4.6,1,CA,1587251691
516,Béjar,-5.76,40.39,53.00600000000003,93,1.04,98,ES,1587251691
517,Rawson,-65.1,-43.3,69.31400000000004,54,4.13,88,AR,1587251692
518,Tombouctou,-3.0,20.0,83.04800000000003,34,10.55,90,ML,1587251692
519,Japura,102.35,-0.32,76.02800000000008,88,0.46,70,ID,1587251692
520,Poum,164.02,-20.23,78.94400000000007,75,5.71,52,NC,1587251692
521,Shenzhen,114.07,22.55,78.00800000000001,99,1.5,54,CN,1587251564
522,Maridi,29.47,4.92,71.40200000000007,63,2.66,95,SS,1587251693
523,Palu,119.87,-0.89,83.066,66,0.99,87,ID,1587251693
524,Seddon,144.89,-37.81,59.0,81,2.1,90,AU,1587251693
525,Inhambane,35.38,-23.86,74.2100000000001,78,5.89,35,MZ,1587251694
526,Sibolga,98.78,1.74,77.61200000000005,79,1.52,80,ID,1587251491
527,Yārāda,83.27,17.65,80.85200000000009,80,5.07,0,IN,1587251579
528,Touros,-35.46,-5.2,82.4,83,1.5,75,BR,1587251694
529,Asău,26.4,46.43,46.004000000000055,70,3.1,34,RO,1587251694
530,Yilan,121.75,24.76,75.00200000000008,99,0.45,100,TW,1587251695
531,Suntar,117.63,62.14,16.07000000000006,90,2.96,95,RU,1587251695
532,Zyryanka,150.85,65.75,4.3520000000000785,92,9.61,100,RU,1587251695
533,Ukiah,-123.21,39.15,62.6,55,2.6,75,US,1587251696
534,Kruisfontein,24.73,-34.0,65.39000000000001,36,2.96,0,ZA,1587251696
535,Amapá,-52.0,1.0,73.38200000000002,92,0.98,64,BR,1587251696
536,São José da Coroa Grande,-35.15,-8.9,81.03200000000001,80,3.74,98,BR,1587251696
537,Awjilah,21.29,29.11,64.20200000000008,44,4.17,0,LY,1587251696
538,Saint Anthony,-93.22,45.02,60.998000000000026,36,6.7,90,US,1587251697
539,Singapore,103.85,1.29,82.4,83,1.37,75,SG,1587251320
540,Kungurtug,97.52,50.6,31.694000000000074,48,0.93,1,RU,1587251697
541,Soyo,12.37,-6.13,78.80000000000001,79,0.3,97,AO,1587251697
542,Ilhabela,-45.36,-23.78,72.12200000000004,77,3.06,83,BR,1587251698
543,Longhua,114.19,23.61,74.94800000000004,74,0.89,75,CN,1587251698
